track_id,as_of_date,current_rank,rank_1d_ago,rank_3d_ago,rank_7d_ago,velocity_1d,velocity_3d,velocity_7d,acceleration,volatility_14d,days_tracked_so_far,n_sources_today,label
19,2026-08-16,9,9.0,10.0,,0.0,0.3333333333333333,,,4.3817804600413295,5,2,1.0
19,2026-08-18,12,9.0,9.0,19.0,-3.0,-1.0,1.0,-2.0,3.9327683210007,6,2,1.0
19,2026-08-20,17,12.0,9.0,10.0,-5.0,-2.6666666666666665,-1.0,-1.6666666666666665,4.180453381654971,7,2,1.0
19,2026-08-21,19,17.0,12.0,9.0,-2.0,-2.3333333333333335,-1.4285714285714286,-0.9047619047619049,4.566962103755937,8,2,1.0
19,2026-08-22,19,19.0,12.0,9.0,0.0,-2.3333333333333335,-1.4285714285714286,-0.9047619047619049,4.716990566028302,9,2,1.0
19,2026-08-23,14,19.0,17.0,9.0,5.0,1.0,-0.7142857142857143,1.7142857142857144,4.4484703987875305,10,2,1.0
19,2026-08-24,11,14.0,19.0,9.0,3.0,2.6666666666666665,-0.2857142857142857,2.952380952380952,4.297991074063239,11,2,
19,2026-08-25,11,11.0,19.0,12.0,0.0,2.6666666666666665,0.14285714285714285,2.5238095238095237,4.1587804156332355,12,2,1.0
19,2026-08-26,9,11.0,14.0,12.0,2.0,1.6666666666666667,0.42857142857142855,1.2380952380952381,3.895412997904385,13,2,1.0
19,2026-08-27,7,9.0,11.0,17.0,2.0,1.3333333333333333,1.4285714285714286,-0.09523809523809534,4.02077936060494,14,2,
19,2026-08-28,8,7.0,11.0,19.0,-1.0,1.0,1.5714285714285714,-0.5714285714285714,4.1401721752875975,15,2,
19,2026-08-31,10,,8.0,11.0,,-0.6666666666666666,0.14285714285714285,-0.8095238095238095,4.25120303828543,16,2,
19,2026-09-14,7,,,,,,,,,17,2,
19,2026-09-15,7,7.0,,,0.0,,,,,18,2,
20,2026-08-11,20,,,,,,,,,1,1,0.0
20,2026-08-13,19,20.0,,,1.0,,,,,2,2,0.0
20,2026-08-14,18,19.0,20.0,,1.0,0.6666666666666666,,,1.0,3,2,0.0
20,2026-08-15,20,18.0,20.0,,-2.0,0.0,,,0.9574271077563381,4,2,0.0
20,2026-08-16,24,20.0,19.0,,-4.0,-1.6666666666666667,,,2.280350850198276,5,1,0.0
20,2026-08-18,33,24.0,20.0,20.0,-9.0,-4.333333333333333,-1.8571428571428572,-2.476190476190476,5.609515724790035,6,1,0.0
20,2026-08-20,42,33.0,24.0,19.0,-9.0,-6.0,-3.2857142857142856,-2.7142857142857144,9.026416258748013,7,1,0.0
20,2026-08-21,43,42.0,33.0,18.0,-1.0,-3.3333333333333335,-3.5714285714285716,0.23809523809523814,10.473606283006278,8,1,0.0
20,2026-08-22,44,43.0,33.0,20.0,-1.0,-3.6666666666666665,-3.4285714285714284,-0.23809523809523814,11.255862669935363,9,1,0.0
